Matrix,Analyte,Conc Range,Method,Unit,Type,Source,Mean,Mean_gg,sd,sd_gg,log_mean,log_sd,H_sd,log_H_sd
MISC_DAIRY,Chloride,,SALT01,G_P_100G,Repeatability,Duplicates,0.35,0.0035,0.016,0.00016,-2.455931956,-3.795880017,0.0164,-1.785247367
SOY_PROD,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.35,0.0035,0.002,0.00002,-2.455931956,-4.698970004,0.0164,-1.785247367
CREAM,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.37,0.0037,0.002,0.00002,-2.431798276,-4.698970004,0.0172,-1.764746168
BUTTER,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Interim Precision,Replicates,0.38,0.0038,0.016,0.00016,-2.420216403,-3.795880017,0.0176,-1.754907541
PDR_INFANT,Chloride,,SALT01,G_P_100G,Repeatability,Duplicates,0.4,0.004,0.005,0.00005,-2.397940009,-4.301029996,0.0184,-1.735984078
SRM Matrix,Chloride,,SALT09,G_P_100G,Interim Precision,IRM001A,0.4,0.004,0.004,0.00004,-2.397940009,-4.397940009,0.0184,-1.735984078
BUTTER,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Interim Precision,Replicates,0.41,0.0041,0.019,0.00019,-2.387216143,-3.721246399,0.0188,-1.726874315
PDR_INFANT,Chloride,,SALT01,G_P_100G,Interim Precision,Replicates,0.41,0.0041,0.017,0.00017,-2.387216143,-3.769551079,0.0188,-1.726874315
AMF,Free Fatty Acid (as Oleic Acid),,FFAC01,G_P_100G,Interim Precision,Replicates,0.41,0.0041,0.011,0.00011,-2.387216143,-3.958607315,0.0188,-1.726874315
SOY_PROD,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.41,0.0041,0.001,0.00001,-2.387216143,-5,0.0188,-1.726874315
WHEY,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.42,0.0042,0.001,0.00001,-2.37675071,-5,0.0191,-1.717984086
ICE_CREAM,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.44,0.0044,0.002,0.00002,-2.356547324,-4.698970004,0.0199,-1.700821613
CREAM,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.45,0.0045,0.006,0.00006,-2.346787486,-4.22184875,0.0203,-1.692530777
MISC_DAIRY,Chloride,,SALT01,G_P_100G,Interim Precision,Replicates,0.51,0.0051,0.005,0.00005,-2.292429824,-4.301029996,0.0226,-1.646354758
LIQ_MILK,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.54,0.0054,0.001,0.00001,-2.26760624,-5,0.0237,-1.625267496
SRM Matrix,Free Fatty Acids as Oleic (fat basis),,FFAC02,G_P_100G,Interim Precision,SRM17K,0.55,0.0055,0.058,0.00058,-2.259637311,-3.236572006,0.0241,-1.61849801
PERM_RETEN,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.56,0.0056,0.003,0.00003,-2.251811973,-4.522878745,0.0244,-1.611850503
LIQ_MILK,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.57,0.0057,0.004,0.00004,-2.244125144,-4.397940009,0.0248,-1.605320657
SRM Matrix,Chloride,,SALT09,G_P_100G,Interim Precision,SRM100,0.57,0.0057,0.002,0.00002,-2.244125144,-4.698970004,0.0248,-1.605320657
MISC_LIQ,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.58,0.0058,0.001,0.00001,-2.236572006,-5,0.0252,-1.59890438
LIQ_MILK,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.62,0.0062,0.001,0.00001,-2.207608311,-5,0.0267,-1.574300155
LIQ_MILK,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.63,0.0063,0.003,0.00003,-2.200659451,-4.522878745,0.0270,-1.568397202
LIQ_MILK,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.65,0.0065,0.001,0.00001,-2.187086643,-5,0.0277,-1.556867306
WHEY,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,0.66,0.0066,0.007,0.00007,-2.180456064,-4.15490196,0.0281,-1.551234729
LIQ_MILK,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.67,0.0067,0.003,0.00003,-2.173925197,-4.522878745,0.0285,-1.545686855
CUSTARD,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.74,0.0074,0.034,0.00034,-2.13076828,-3.468521083,0.0310,-1.509025702
MISC_DAIRY,Lactose monohydrate,,LACT02,G_P_100G,Interim Precision,Replicates,0.81,0.0081,0.025,0.00025,-2.091514981,-3.602059991,0.0334,-1.475680613
CHEESE,Chloride,,SALT07,G_P_100G,Repeatability,Duplicates,0.81,0.0081,0.003,0.00003,-2.091514981,-4.522878745,0.0334,-1.475680613
YOGHURT,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,0.85,0.0085,0.008,0.00008,-2.070581074,-4.096910013,0.0348,-1.457897573
PDR_WPC,Chloride,,SALT01,G_P_100G,Repeatability,Duplicates,0.9,0.009,0.004,0.00004,-2.045757491,-4.397940009,0.0366,-1.436810311
PDR_FCMP,Acidity ( as Lactic Acid),,TITA05,G_P_100G,Repeatability,Duplicates,0.91,0.0091,0.008,0.00008,-2.040958608,-4.096910013,0.0369,-1.432733732
YOGHURT,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,0.93,0.0093,0.006,0.00006,-2.031517051,-4.22184875,0.0376,-1.424713271
SRM Matrix,Chloride,,SALT07,G_P_100G,Interim Precision,SRM25J,0.97,0.0097,0.009,0.00009,-2.013228266,-4.045757491,0.0390,-1.409177222
SRM Matrix,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,SRM94C,0.98,0.0098,0.067,0.00067,-2.008773924,-3.173925197,0.0393,-1.405393326
BUTTER,Curd (with salt),,CURD01,G_P_100G,Interim Precision,Monte Carlo,1,0.01,1.08,0.0108,-2,-1.966576245,0.0400,-1.397940009
BUTTER,Curd (no salt),,CURD01,G_P_100G,Interim Precision,Monte Carlo,1,0.01,1.05,0.0105,-2,-1.978810701,0.0400,-1.397940009
PET_FOOD,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,1,0.01,0.012,0.00012,-2,-3.920818754,0.0400,-1.397940009
CHEESE,Chloride,,SALT07,G_P_100G,Interim Precision,Replicates,1.03,0.0103,0.008,0.00008,-1.987162775,-4.096910013,0.0410,-1.387034979
SRM Matrix,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,SRM94D,1.06,0.0106,0.107,0.00107,-1.974694135,-2.970616222,0.0420,-1.376443056
PET_FOOD,Crude Fibre,,CFIB02,G_P_100G,Repeatability,Duplicates,1.13,0.0113,0.023,0.00023,-1.946921557,-3.638272164,0.0444,-1.352850667
LIQ_MILK,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,1.15,0.0115,0.008,0.00008,-1.93930216,-4.096910013,0.0450,-1.346378104
SRM Matrix,Free Fat (of powder),,FRFA03,G_P_100G,Interim Precision,IRM001,1.27,0.0127,0.262,0.00262,-1.896196279,-2.581698709,0.0490,-1.309760305
SRM Matrix,Free Fat (of powder),,FRFA03,G_P_100G,Interim Precision,IRM001A,1.29,0.0129,0.177,0.00177,-1.88941029,-2.752026734,0.0497,-1.303995708
BUTTER,Salt (as NaCl),,SALT02,G_P_100G,Repeatability,Duplicates,1.31,0.0131,0.006,0.00006,-1.882728704,-4.22184875,0.0503,-1.298319802
PDR_SMP,Acidity ( as Lactic Acid),,TITA05,G_P_100G,Repeatability,Duplicates,1.33,0.0133,0.008,0.00008,-1.876148359,-4.096910013,0.0510,-1.292729897
LIQ_MILK,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,1.34,0.0134,0.049,0.00049,-1.872895202,-3.30980392,0.0513,-1.289966389
PDR_SMP,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,1.35,0.0135,0.032,0.00032,-1.869666232,-3.494850022,0.0516,-1.287223427
MISC_FOOD,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,1.35,0.0135,0.009,0.00009,-1.869666232,-4.045757491,0.0516,-1.287223427
BUTTER,Salt (as NaCl),,SALT02,G_P_100G,Interim Precision,Replicates,1.43,0.0143,0.03,0.0003,-1.844663963,-3.522878745,0.0542,-1.265984375
PASTA,Ash @ 550ÎçC,,ASHS04,G_P_100G,Repeatability,Duplicates,1.43,0.0143,0.01,0.0001,-1.844663963,-4,0.0542,-1.265984375
MISC_FOOD,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,1.45,0.0145,0.02,0.0002,-1.838631998,-3.698970004,0.0548,-1.260860311
FISH,Ash @ 550ÎçC,,ASHS04,G_P_100G,Repeatability,Duplicates,1.46,0.0146,0.024,0.00024,-1.835647144,-3.619788758,0.0552,-1.258324723
PDR_WHEY,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,1.49,0.0149,0.032,0.00032,-1.826813732,-3.494850022,0.0561,-1.250820871
SAUCES,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,1.53,0.0153,0.022,0.00022,-1.815308569,-3.657577319,0.0574,-1.241047408
SRM Matrix,Free Fat (of powder),,FRFA04,G_P_100G,Interim Precision,IRM001A,1.56,0.0156,0.214,0.00214,-1.806875402,-2.669586227,0.0584,-1.233883559
SAUCES,Ash @ 550ÎçC,,ASHS04,G_P_100G,Repeatability,Duplicates,1.58,0.0158,0.031,0.00031,-1.801342913,-3.508638306,0.0590,-1.229183793
MISC_LIQ,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,1.64,0.0164,0.016,0.00016,-1.785156152,-3.795880017,0.0609,-1.215433382
SRM Matrix,Free Fat (product basis),,FRFA01,G_P_100G,Interim Precision,IRM001A,1.68,0.0168,0.156,0.00156,-1.774690718,-2.806875402,0.0622,-1.206543153
PASTA,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,1.68,0.0168,0.02,0.0002,-1.774690718,-3.698970004,0.0622,-1.206543153
MISC_DAIRY,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,1.74,0.0174,0.006,0.00006,-1.759450752,-4.22184875,0.0640,-1.19359703
PDR_INFANT,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,1.77,0.0177,0.016,0.00016,-1.752026734,-3.795880017,0.0650,-1.187290438
SRM Matrix,Crude Fibre,,CFIB02,G_P_100G,Interim Precision,SRM15O,1.78,0.0178,0.103,0.00103,-1.749579998,-2.987162775,0.0653,-1.185211972
SRM Matrix,Free Fat (of powder),,FRFA04,G_P_100G,Interim Precision,IRM001,1.79,0.0179,0.177,0.00177,-1.747146969,-2.752026734,0.0656,-1.183145151
MISC_PROD,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,1.81,0.0181,0.043,0.00043,-1.742321425,-3.366531544,0.0662,-1.179045924
PDR_INFANT,Free Fat (product basis),,FRFA01,G_P_100G,Repeatability,Duplicates,1.82,0.0182,0.047,0.00047,-1.739928612,-3.327902142,0.0665,-1.177013265
PET_FOOD,Crude Fibre,,CFIB02,G_P_100G,Interim Precision,Replicates,1.83,0.0183,0.115,0.00115,-1.73754891,-2.93930216,0.0668,-1.174991744
SRM Matrix,Moisture,,MOIS01,G_P_100G,Interim Precision,IRM001A,1.85,0.0185,0.07,0.0007,-1.732828272,-3.15490196,0.0675,-1.170981632
PASTA,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,1.85,0.0185,0.027,0.00027,-1.732828272,-3.568636236,0.0675,-1.170981632
SRM Matrix,Free Fat (product basis),,FRFA01,G_P_100G,Interim Precision,IRM001,1.87,0.0187,0.213,0.00213,-1.728158393,-2.671620397,0.0681,-1.167014641
SRM Matrix,Crude Fibre,,CFIB02,G_P_100G,Interim Precision,SRM15Q,1.93,0.0193,0.361,0.00361,-1.714442691,-2.442492798,0.0699,-1.155363357
PDR_MPC,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,1.94,0.0194,0.095,0.00095,-1.71219827,-3.022276395,0.0702,-1.153456755
CEREAL_PRD,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,1.97,0.0197,0.009,0.00009,-1.705533774,-4.045757491,0.0712,-1.147795366
SRM Matrix,Moisture,,MOIS13,G_P_100G,Interim Precision,IRM001A,2,0.02,0.044,0.00044,-1.698970004,-3.356547324,0.0721,-1.142219542
NUTS,Free Fatty Acids as Oleic (Hot Press),,FFAC04,G_P_100G,Repeatability,Duplicates,2.02,0.0202,0.038,0.00038,-1.694648631,-3.420216403,0.0727,-1.1385486
MISC_DAIRY,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,2.05,0.0205,0.037,0.00037,-1.688246139,-3.431798276,0.0736,-1.133109779
MISC_PDR,Moisture,,MOIS01,G_P_100G,Repeatability,Duplicates,2.1,0.021,0.077,0.00077,-1.677780705,-3.113509275,0.0751,-1.12421955
NUTR_BAR,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,2.2,0.022,0.06,0.0006,-1.657577319,-3.22184875,0.0782,-1.107057077
NUTR_BAR,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,2.22,0.0222,0.066,0.00066,-1.653647026,-3.180456064,0.0788,-1.103718351
PDR_WHEY,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,2.24,0.0224,0.023,0.00023,-1.649751982,-3.638272164,0.0794,-1.10040957
SRM Matrix,Moisture,,MOIS01,G_P_100G,Interim Precision,IRM001,2.26,0.0226,0.056,0.00056,-1.645891561,-3.251811973,0.0800,-1.0971302
PDR_WHEY,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,2.27,0.0227,0.014,0.00014,-1.643974143,-3.853871964,0.0803,-1.095501383
PDR_INFANT,Moisture,,MOIS01,G_P_100G,Repeatability,Duplicates,2.28,0.0228,0.035,0.00035,-1.642065153,-3.455931956,0.0806,-1.093879724
PDR_INFANT,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,2.34,0.0234,0.006,0.00006,-1.630784143,-4.22184875,0.0824,-1.084296675
DRIEDFRUIT,Fat,,FATS11,G_P_100G,Interim Precision,Replicates,2.42,0.0242,0.084,0.00084,-1.616184634,-3.075720714,0.0847,-1.071894612
CEREAL_PRD,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,2.44,0.0244,0.032,0.00032,-1.612610174,-3.494850022,0.0853,-1.068858161
SOY_PROD,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,2.46,0.0246,0.058,0.00058,-1.609064893,-3.236572006,0.0859,-1.065846498
PDR_INFANT,Moisture,,MOIS01,G_P_100G,Interim Precision,Replicates,2.47,0.0247,0.052,0.00052,-1.607303047,-3.283996656,0.0862,-1.064349836
PDR_WHEY,Moisture,,MOIS01,G_P_100G,Interim Precision,Replicates,2.64,0.0264,0.126,0.00126,-1.578396073,-2.899629455,0.0912,-1.039793796
SRM Matrix,Ash (@ 600ÎçC),,ASHS09,G_P_100G,Interim Precision,IRM001,2.66,0.0266,0.079,0.00079,-1.575118363,-3.102372909,0.0918,-1.037009431
CREAM,Lactose monohydrate,,LACT02,G_P_100G,Repeatability,Duplicates,2.72,0.0272,0.069,0.00069,-1.565431096,-3.161150909,0.0936,-1.028780242
CREAM,Lactose monohydrate,,LACT02,G_P_100G,Interim Precision,Replicates,2.75,0.0275,0.093,0.00093,-1.560667306,-3.031517051,0.0945,-1.024733474
PDR_WHEY,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,2.79,0.0279,0.087,0.00087,-1.554395797,-3.060480747,0.0956,-1.019405921
SRM Matrix,Ash @ 550ÎçC,,ASHS04,G_P_100G,Interim Precision,IRM001,2.81,0.0281,0.044,0.00044,-1.55129368,-3.356547324,0.0962,-1.01677072
SRM Matrix,Ash (@ 550ÎçC),,ASHS11,G_P_100G,Interim Precision,IRM001,2.82,0.0282,0.062,0.00062,-1.549750892,-3.207608311,0.0965,-1.015460144
SRM Matrix,Ash (@ 550ëçC),,ASHS01,G_P_100G,Interim Precision,IRM001,2.82,0.0282,0.035,0.00035,-1.549750892,-3.455931956,0.0965,-1.015460144
FISH,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,2.89,0.0289,0.031,0.00031,-1.539102157,-3.508638306,0.0985,-1.006414204
PDR_FCMP,Moisture,,MOIS01,G_P_100G,Repeatability,Duplicates,2.9,0.029,0.028,0.00028,-1.537602002,-3.552841969,0.0988,-1.005139844
CEREAL_PRD,Ash @ 550ÎçC,,ASHS04,G_P_100G,Repeatability,Duplicates,2.95,0.0295,0.013,0.00013,-1.530177984,-3.886056648,0.1003,-0.998833252
LIQ_MILK,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,2.95,0.0295,0.011,0.00011,-1.530177984,-3.958607315,0.1003,-0.998833252
FISH,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,3.05,0.0305,0.086,0.00086,-1.515700161,-3.065501549,0.1031,-0.986534559
PDR_MISC,Moisture,,MOIS01,G_P_100G,Repeatability,Duplicates,3.08,0.0308,0.015,0.00015,-1.511449283,-3.823908741,0.1040,-0.982923502
PDR_INFANT,Free Fat (product basis),,FRFA01,G_P_100G,Interim Precision,Replicates,3.14,0.0314,0.125,0.00125,-1.503070352,-2.903089987,0.1057,-0.975805726
SRM Matrix,Ash (@ 600ÎçC),,ASHS09,G_P_100G,Interim Precision,IRM001A,3.16,0.0316,0.284,0.00284,-1.500312917,-2.54668166,0.1063,-0.973463326
PDR_FCMP,Moisture,,MOIS01,G_P_100G,Interim Precision,Replicates,3.16,0.0316,0.08,0.0008,-1.500312917,-3.096910013,0.1063,-0.973463326
SRM Matrix,Ash (@ 550ÎçC),,ASHS11,G_P_100G,Interim Precision,IRM001A,3.23,0.0323,0.05,0.0005,-1.490797478,-3.301029996,0.1083,-0.965380103
CHEESE,Lactose monohydrate,,LACT02,G_P_100G,Interim Precision,Replicates,3.25,0.0325,0.092,0.00092,-1.488116639,-3.036212173,0.1089,-0.963102771
SRM Matrix,Ash @ 550ÎçC,,ASHS04,G_P_100G,Interim Precision,IRM001A,3.26,0.0326,0.043,0.00043,-1.4867824,-3.366531544,0.1092,-0.961969355
SRM Matrix,Ash (@ 550ëçC),,ASHS01,G_P_100G,Interim Precision,IRM001A,3.26,0.0326,0.038,0.00038,-1.4867824,-3.420216403,0.1092,-0.961969355
PDR_SMP,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,3.27,0.0327,0.056,0.00056,-1.485452247,-3.251811973,0.1094,-0.96083941
PDR_INFANT,Ash (@ 550ÎçC),,ASHS11,G_P_100G,Repeatability,Duplicates,3.28,0.0328,0.035,0.00035,-1.484126156,-3.455931956,0.1097,-0.959712915
CHEESE,Total Nitrogen,,PROT01,G_P_100G,Repeatability,Duplicates,3.34,0.0334,0.013,0.00013,-1.476253533,-3.886056648,0.1114,-0.95302524
PDR_BMP,Moisture,,MOIS01,G_P_100G,Repeatability,Duplicates,3.45,0.0345,0.046,0.00046,-1.462180905,-3.337242168,0.1145,-0.941070754
MISC_DAIRY,Moisture,,MOIS01,G_P_100G,Repeatability,Duplicates,3.49,0.0349,0.037,0.00037,-1.457174573,-3.431798276,0.1157,-0.93681795
PDR_BMP,Moisture,,MOIS01,G_P_100G,Interim Precision,Replicates,3.5,0.035,0.089,0.00089,-1.455931956,-3.050609993,0.1159,-0.935762365
PDR_FCMP,Free Fat (product basis),,FRFA01,G_P_100G,Interim Precision,Replicates,3.51,0.0351,0.058,0.00058,-1.454692884,-3.236572006,0.1162,-0.934709792
PDR_WPC,Moisture,,MOIS13,G_P_100G,Repeatability,Duplicates,3.51,0.0351,0.031,0.00031,-1.454692884,-3.508638306,0.1162,-0.934709792
PDR_MISC,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,3.51,0.0351,0.015,0.00015,-1.454692884,-3.823908741,0.1162,-0.934709792
PDR_FCMP,Total Nitrogen,,PROT02,G_P_100G,Repeatability,Duplicates,3.51,0.0351,0.011,0.00011,-1.454692884,-3.958607315,0.1162,-0.934709792
CHEESE,Total Nitrogen,,PROT01,G_P_100G,Interim Precision,Replicates,3.55,0.0355,0.038,0.00038,-1.449771647,-3.420216403,0.1173,-0.930529275
PDR_INFANT,Ash (@ 550ÎçC),,ASHS11,G_P_100G,Interim Precision,Replicates,3.57,0.0357,0.084,0.00084,-1.447331784,-3.075720714,0.1179,-0.928456648
PDR_WPC,Moisture,,MOIS01,G_P_100G,Interim Precision,Replicates,3.69,0.0369,0.078,0.00078,-1.432973634,-3.107905397,0.1213,-0.916259615
CEREAL_PRD,Crude Fibre,,CFIB02,G_P_100G,Repeatability,Duplicates,3.78,0.0378,0.102,0.00102,-1.4225082,-2.991399828,0.1238,-0.907369386
LIQ_MILK,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,3.78,0.0378,0.009,0.00009,-1.4225082,-4.045757491,0.1238,-0.907369386
